raw_ref_id,user_id,merchant_id,amount,structured_at
8d63e12f4de5a5dc1b8629e5ef2f9442,1234567890,ABCCompanyRetailerName,10000.99,2026-07-31 23:55:47
31e48057bd48079fcb37dee70fe96250,AI_FinancialData_1234,BankingInstitutionXYZ,123.45,2026-07-31 23:56:39
456a80a2252825ab566dd23842dc91df,JohnDoe123,Walmart Inc.,12.99,2026-07-31 23:57:18
50d61db0d40a2b53f2bdc678b00889a9,AI_FinancialData_1234,BankingInstitutionXYZ,123.45,2026-07-31 23:57:18
25d438534a7277d485ec4794110e3778,MORGAN_STANLEY,MICROSOFT_CORPORATION,123456789.0,2026-07-31 23:59:20
18205d420b3998a00aa266c0b72c0e7f,AI_FinancialData_1234,BankingInstitutionXYZ,123.45,2026-07-31 23:59:20
d95d99a2d9f7ed204a21cb50d8637544,AlphanumericHolderName1234567890,VendorRetailerNameXYZ,1234.56,2026-08-02 17:58:48
d3e37f9ee784d6855b23694d3c1239b7,MORGAN_STANLEY,MICROSOFT_CORPORATION,123456789.0,2026-08-02 17:58:48
cb64618f2af62ce082204e7077f9ceb0,AI_FinancialData_1234,BankingInstitutionXYZ,123.45,2026-08-02 17:58:48
52abbb6adfcfe0621cea0375746b83bc,ABC123,XYZRetailer,5000.99,2026-08-02 18:01:14
23c9adb8457a300475909a439368c50a,1234567890,ABCCompanyRetailerName,10000.99,2026-08-02 18:01:14
ff837f65fd02aa9e65f5310a4a226bd4,F5A7E12D-3C1B-4E8E-A9A7-F2B8F3A1DE6A,WALMART_Stores_Inc,123.45,2026-08-02 18:01:14
b288976c327b94f8e7bbcf676ebd1701,JohnDoe123,Walmart Inc.,12.99,2026-08-02 18:01:14
973c5d9dfe481d335c382352186e6a02,AlphanumericHolderName1234567890,VendorRetailerNameXYZ,1234.56,2026-08-02 18:01:14
c3e0e7d6f005825307f13187c78554d3,MORGAN_STANLEY,MICROSOFT_CORPORATION,123456789.0,2026-08-02 18:01:14
f04aa6f6d6e0ed1a6200da4bd1467d77,AI_FinancialData_1234,BankingInstitutionXYZ,123.45,2026-08-02 18:01:14
4c904b18a83edc5bf2903367c564168e,XYZ123,Walmart Inc.,1500.5,2026-08-02 18:08:38
bc2da4f9deebc7c77ce5bfcb32344fff,JohnDoe123,Walmart Inc.,12.99,2026-08-02 18:08:38
c58be1810f8adad38e7bff754e891b9f,AlphanumericHolderName1234567890,VendorRetailerNameXYZ,1234.56,2026-08-02 18:08:38
ee90d82f167a9bb9d6b665398c91d0d4,MORGAN_STANLEY,MICROSOFT_CORPORATION,123456789.0,2026-08-02 18:08:38
b964db413de5af06fb9ae114053fd417,AI_FinancialData_1234,BankingInstitutionXYZ,123.45,2026-08-02 18:08:38
